EID Prefix,Reply Type,Received From,RLOC Addresses,RLOC Priorities,RLOC Weights,RLOC States,New Deployed Changed,Configuration Changed ,Statistical Changed,Recieved From Changed,Received From not RLOCs ,Received From RLOCs ,Received From Map Resolver ,Number of Timestamp,Total Number of Timestamp
0.0.0.0:3,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,221,221,299
128.0.0.0:6,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,225,225,299
132.0.0.0:9,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,228,228,299
132.128.0.0:10,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,220,220,299
132.192.0.0:11,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,227,227,299
132.224.0.0:15,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,234,234,299
132.226.0.0:16,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,225,225,299
132.227.0.0:18,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,212,212,299
132.227.112.0:21,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,208,208,299
132.227.120.0:28,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,202,202,299
132.227.120.128:30,LISP Reply,137.194.18.130,"['137.194.18.130', '2001:660:330f:a100::89c2:1282']","['10', '20']","['100', '100']","['Up', 'Up']",0,0,0,0,0,194,0,194,299
132.227.120.136:29,LISP Reply,137.194.18.130,"['137.194.18.130', '137.194.18.139']","['255', '10']","['100', '100']","['Up', 'Up']",0,0,0,0,0,196,0,196,299
132.227.120.168:30,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,206,206,299
132.227.120.172:30,Negative Reply,202.214.86.252,[''],[''],[''],[''],0,0,0,0,0,0,189,189,299
132.227.120.176:28,LISP Reply,132.227.62.242,"['132.227.62.242', '2001:660:3302:282c:240::242']","['1', '2']","['100', '100']","['Up', 'Up']",0,0,0,0,0,194,0,194,299
